session,id,start,end,last_interaction,started_by,context,final_summary,channel,active,busy,multi_message,experience,human_mode,thread_id,assistant_id,agent_id,csat,current_agent,agent_input_thread,contact_id,tenant_id
231e8776-e099-47b1-a553-1773b35aaa45,231e8776-e099-47b1-a553-1773b35aaa45,2026-03-12 23:27:07.497930+00:00,2026-03-12 23:27:18.205932+00:00,2026-03-12 23:27:07.517328+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,51a4ed45-47c2-4157-bbf6-e55c192e4546,1
084e1fa2-3eeb-4984-8135-67ab648664bc,084e1fa2-3eeb-4984-8135-67ab648664bc,2026-03-12 23:27:31.987584+00:00,2026-03-12 23:27:36.840653+00:00,2026-03-12 23:27:32.013110+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,31ace4e4-73a9-4f90-b258-02853d2abddb,1
be597be7-709c-42a2-afa3-25188040163c,be597be7-709c-42a2-afa3-25188040163c,2026-03-12 23:27:31.404245+00:00,2026-03-12 23:27:36.868234+00:00,2026-03-12 23:27:31.429119+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,31ace4e4-73a9-4f90-b258-02853d2abddb,1
d3d73699-5a6f-4144-aa19-1f69f069900c,d3d73699-5a6f-4144-aa19-1f69f069900c,2026-03-12 23:27:30.773030+00:00,2026-03-12 23:27:37.477479+00:00,2026-03-12 23:27:30.781928+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,31ace4e4-73a9-4f90-b258-02853d2abddb,1
55bfea1a-6d22-46e3-8c2a-c877843a8ed0,55bfea1a-6d22-46e3-8c2a-c877843a8ed0,2026-03-12 23:27:43.046529+00:00,2026-03-12 23:28:08.140879+00:00,2026-03-12 23:27:43.056927+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,31ace4e4-73a9-4f90-b258-02853d2abddb,1
4b28a433-5b1d-453e-ab53-3d64c831b2ab,4b28a433-5b1d-453e-ab53-3d64c831b2ab,2026-03-12 23:27:42.633622+00:00,2026-03-12 23:28:08.167743+00:00,2026-03-12 23:27:42.658548+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,31ace4e4-73a9-4f90-b258-02853d2abddb,1
75329c43-18e1-4594-85bd-e3a336573324,75329c43-18e1-4594-85bd-e3a336573324,2026-03-12 23:27:42.106614+00:00,2026-03-12 23:28:08.194632+00:00,2026-03-12 23:27:42.133761+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,31ace4e4-73a9-4f90-b258-02853d2abddb,1
710715d4-c08a-4b11-aa0e-2819e4193b5a,710715d4-c08a-4b11-aa0e-2819e4193b5a,2026-03-12 23:27:19.143087+00:00,2026-03-12 23:28:08.215024+00:00,2026-03-12 23:27:19.191219+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,51a4ed45-47c2-4157-bbf6-e55c192e4546,1
8cd57b51-6241-4da7-aa71-e67c04a6c2a7,8cd57b51-6241-4da7-aa71-e67c04a6c2a7,2026-03-12 23:24:39.421031+00:00,2026-03-12 23:28:08.225795+00:00,2026-03-12 23:24:39.446108+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,f9e15981-4a53-47d6-a1bc-1ef5096003cb,1
b7e27ea0-de69-4bee-b2f9-0b343687e451,b7e27ea0-de69-4bee-b2f9-0b343687e451,2026-03-12 23:24:39.148175+00:00,2026-03-12 23:28:08.237003+00:00,2026-03-12 23:24:39.171563+00:00,user,,,shopify_webchat,False,False,False,,False,,,b1e1211b-8006-40a4-b66c-6f4952865d32,,Sommelier,,9d7e65fa-1ae2-4bff-83bf-618e89bf9ee6,1
